date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:47	69193/69193	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Nov%202022%2007:07:48%20GMT	https://rootgaming.site/tools/img/52705-programacion.jpg	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/img/52705-programacion.jpg	(from https://rootgaming.site/tools/)
20:59:47	8326/8326	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:49%20GMT	https://rootgaming.site/tools/dapp.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/dapp.html	(from https://rootgaming.site/tools/)
20:59:48	8041/8041	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:50%20GMT	https://rootgaming.site/tools/download.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/download.html	(from https://rootgaming.site/tools/)
20:59:50	8489/8489	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:52%20GMT	https://rootgaming.site/tools/dgra.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/dgra.html	(from https://rootgaming.site/tools/)
20:59:51	9694/9694	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:53%20GMT	https://rootgaming.site/tools/help.php	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/help.html	(from https://rootgaming.site/tools/)
20:59:56	249391/249391	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Nov%202022%2008:14:48%20GMT	https://rootgaming.site/tools/img/52594-programacion.jpg	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/img/52594-programacion.jpg	(from https://rootgaming.site/tools/)
20:59:57	111282/111282	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2001:59:56%20GMT	https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B.html	(from https://rootgaming.site/tools/)
20:59:58	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2014%20Dec%202022%2001:59:59%20GMT	https://discord.gg/rv4skgemxC	C:/Users/juanb/OneDrive/Escritorio/test/1/discord.gg/rv4skgemxC.15.delayed	(from https://rootgaming.site/tools/)
21:00:01	7230/7230	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2022:17:24%20GMT	https://discord.com/invite/rv4skgemxC	C:/Users/juanb/OneDrive/Escritorio/test/1/discord.com/invite/rv4skgemxC.html	(from https://rootgaming.site/tools/)
21:00:04	220911/220911	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Apr%202021%2020:12:44%20GMT	https://rootgaming.site/tools/js/mdb.min.js	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/js/mdb.min.js	(from https://rootgaming.site/tools/)
21:00:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202022%2002:00:07%20GMT	https://rootgaming.site/tools/js/script.js	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/js/script.18.delayed	(from https://rootgaming.site/tools/)
21:00:05	1167/1167	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Nov%202022%2017:26:48%20GMT	https://rootgaming.site/tools/js/gv.js	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/js/gv.js	(from https://rootgaming.site/tools/)
21:00:06	64214/64214	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2013%20Nov%202022%2010:17:02%20GMT	https://rootgaming.site/tools/js/sweetalert2@11.js	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/js/sweetalert2@11.js	(from https://rootgaming.site/tools/)
21:00:11	89664/89664	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2010%20Dec%202022%2012:32:36%20GMT	https://rootgaming.site/tools/js/jquery-3.6.1.min.js	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/js/jquery-3.6.1.min.js	(from https://rootgaming.site/tools/)
21:00:12	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2014%20Dec%202022%2002:00:14%20GMT	https://fonts.googleapis.com/robots.txt		(from https://rootgaming.site/tools/)
21:00:14	28123/28123	---M--	200	added ('OK')	image/png	etag:%225da9cca4-6ddb%22	https://mdbootstrap.com/img/svg/flags.png	C:/Users/juanb/OneDrive/Escritorio/test/1/mdbootstrap.com/img/svg/flags.png	(from https://rootgaming.site/tools/css/mdb.min.css)
21:00:19	112440/112440	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Oct%202022%2012:22:32%20GMT	https://rootgaming.site/tools/css/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/css/bootstrap-icons/fonts/bootstrap-iconsd862.woff2	(from https://rootgaming.site/tools/css/bootstrap-icons/bootstrap-icons.css)
21:00:21	150592/150592	---M--	200	added ('OK')	font/woff	date:Tue,%2018%20Oct%202022%2012:22:32%20GMT	https://rootgaming.site/tools/css/bootstrap-icons/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/css/bootstrap-icons/fonts/bootstrap-iconsd862.woff	(from https://rootgaming.site/tools/css/bootstrap-icons/bootstrap-icons.css)
21:00:22	328/328	---M-Z	200	added ('OK')	text/plain	date:Wed,%2014%20Sep%202022%2019:58:00%20GMT	https://www.youtube.com/robots.txt		(from https://rootgaming.site/tools/)
21:00:22	1555/1555	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/img/favicon_32x32.png	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/img/favicon_32x32.png	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:23	525/525	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/img/favicon_48x48.png	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/img/favicon_48x48.png	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:24	2576/2576	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/img/favicon_96x96.png	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/img/favicon_96x96.png	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:24	2783/2783	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/img/favicon_144x144.png	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/img/favicon_144x144.png	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:25	50695/50695	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:27	119977/119977	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/webcomponents-all-noPatch.vflset/webcomponents-all-noPatch.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/webcomponents-all-noPatch.vflset/webcomponents-all-noPatch.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:28	9615/9615	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/fetch-polyfill.vflset/fetch-polyfill.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/fetch-polyfill.vflset/fetch-polyfill.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:30	5547/5547	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/intersection-observer.min.vflset/intersection-observer.min.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/intersection-observer.min.vflset/intersection-observer.min.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:30	6804/6804	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/scheduler.vflset/scheduler.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/scheduler.vflset/scheduler.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:31	4292/4292	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:31	10010/10010	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/www-tampering.vflset/www-tampering.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/www-tampering.vflset/www-tampering.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:32	39697/39697	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/spf.vflset/spf.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/spf.vflset/spf.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:35	2741/2741	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2002:00:35%20GMT	http://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&family=YouTube+Sans:wght@300..900&display=swap	C:/Users/juanb/OneDrive/Escritorio/test/1/fonts.googleapis.com/css2aa78.css	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:35	13822/13822	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/jsbin/network.vflset/network.js	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/jsbin/network.vflset/network.js	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:35	841/841	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/cssbin/www-onepick.css	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/cssbin/www-onepick.css	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:00:37	0/0	---M--	303	error ('See%20Other')	application/binary	date:Wed,%2014%20Dec%202022%2002:00:39%20GMT	https://www.youtube.com/c/juanYTOFICIAL/android-app://com.google.android.youtube/http/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/c/juanYTOFICIAL/android-app_/com.google.android.youtube/http/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg.2f.delayed	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:01:07	3111737/3111737	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2016:47:44%20GMT	https://rootgaming.site/tools/img/emily-bernal-v9vII5gV8Lw-unsplash.jpg	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/img/emily-bernal-v9vII5gV8Lw-unsplash.jpg	(from https://rootgaming.site/tools/)
21:01:10	415637/415637	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:00:41%20GMT	https://www.youtube.com/c/juanYTOFICIAL/android-app:/com.google.android.youtube/http/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/c/juanYTOFICIAL/android-app_/com.google.android.youtube/http/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg.html	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:01:10	0/0	---M--	303	error ('See%20Other')	application/binary	date:Wed,%2014%20Dec%202022%2002:01:11%20GMT	https://www.youtube.com/c/juanYTOFICIAL/ios-app://544007664/vnd.youtube/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/c/juanYTOFICIAL/ios-app_/544007664/vnd.youtube/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg.31.delayed	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:01:12	5073/5073	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2018:15:58%20GMT	https://www.youtube.com/s/desktop/25bf5aae/cssbin/www-main-desktop-watch-page-skeleton.css	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/s/desktop/25bf5aae/cssbin/www-main-desktop-watch-page-skeleton.css	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:01:15	415501/415501	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:01:13%20GMT	https://www.youtube.com/c/juanYTOFICIAL/ios-app:/544007664/vnd.youtube/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg	C:/Users/juanb/OneDrive/Escritorio/test/1/www.youtube.com/c/juanYTOFICIAL/ios-app_/544007664/vnd.youtube/www.youtube.com/channel/UCP2gUcvQwvDZaOzx7STY6Fg.html	(from https://www.youtube.com/c/juanYTOFICIAL/featured)
21:01:53	4902684/4902684	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Nov%202022%2008:23:00%20GMT	https://rootgaming.site/tools/img/juanjo-jaramillo-mZnx9429i94-unsplash.jpg	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/img/juanjo-jaramillo-mZnx9429i94-unsplash.jpg	(from https://rootgaming.site/tools/)
21:01:56	156/156	---MCZ	200	added ('OK')	text/plain	date:Wed,%2014%20Dec%202022%2002:01:58%20GMT	https://chat.whatsapp.com/robots.txt		(from https://rootgaming.site/tools/)
21:01:58	108959/108959	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:01:59%20GMT	https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B?_fb_noscript=1	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B4964.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:01:59	172251/172251	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Nov%202022%2021:06:12%20GMT	https://rootgaming.site/tools/img/rg.jpg	C:/Users/juanb/OneDrive/Escritorio/test/1/rootgaming.site/tools/img/rg.jpg	(from https://rootgaming.site/tools/help.php)
21:02:00	2043/2043	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.whatsapp.net/rsrc.php/v3/yP/r/rYZqPCBaG70.png	C:/Users/juanb/OneDrive/Escritorio/test/1/static.whatsapp.net/rsrc.php/v3/yP/r/rYZqPCBaG70.png	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:00	4390/4390	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.whatsapp.net/rsrc.php/v3/yO/l/0,cross/zkmfh5mjXuB.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/juanb/OneDrive/Escritorio/test/1/static.whatsapp.net/rsrc.php/v3/yO/l/0,cross/zkmfh5mjXuB1f8e.css	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:03	77032/77032	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.whatsapp.net/rsrc.php/v3/yI/l/0,cross/2lwCRctq7In.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/juanb/OneDrive/Escritorio/test/1/static.whatsapp.net/rsrc.php/v3/yI/l/0,cross/2lwCRctq7In1f8e.css	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:03	7823/7823	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.whatsapp.net/rsrc.php/v3/ye/l/0,cross/FdmGXA_jPW_.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/juanb/OneDrive/Escritorio/test/1/static.whatsapp.net/rsrc.php/v3/ye/l/0,cross/FdmGXA_jPW_1f8e.css	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:04	761/761	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.whatsapp.net/rsrc.php/v3/yc/l/0,cross/28bZN702Ikw.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/juanb/OneDrive/Escritorio/test/1/static.whatsapp.net/rsrc.php/v3/yc/l/0,cross/28bZN702Ikw1f8e.css	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:09	111007/111007	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:09%20GMT	https://chat.whatsapp.com/--sanitized-S228802--	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:10	370054/370054	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.whatsapp.net/rsrc.php/v3/yp/r/gjQ_gKw-ct1.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/juanb/OneDrive/Escritorio/test/1/static.whatsapp.net/rsrc.php/v3/yp/r/gjQ_gKw-ct11f8e.js	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:11	113177/113177	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:12%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=az	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--8526.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:12	111151/111151	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:13%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=af	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--fb3d.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:13	110991/110991	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:14%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=id	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--9bb4.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:13	111057/111057	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:15%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=ms	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--99dc.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:14	111218/111218	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:15%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=ca	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--a35d.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:16	111441/111441	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:16%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=cs	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--7b3f.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:16	111214/111214	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:18%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=da	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--c423.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:17	111354/111354	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:18%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=de	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--3322.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:17	111201/111201	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:19%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=en	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--9ed2.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:18	111137/111137	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:19%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=et	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--91b9.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:18	111236/111236	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:20%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=es	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--c69a.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:19	111366/111366	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:20%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=fr	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--e68f.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
21:02:19	111604/111604	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2002:02:21%20GMT	https://chat.whatsapp.com/--sanitized-S228802--?lang=ga	C:/Users/juanb/OneDrive/Escritorio/test/1/chat.whatsapp.com/--sanitized-S228802--5242.html	(from https://chat.whatsapp.com/ItYBOTdHQaF8dq2trCjx6B)
